iter	Passed	Remaining
272	4227	1966
273	4260	1959
274	4279	1945
275	4294	1929
276	4307	1912
277	4320	1896
278	4336	1880
279	4350	1864
280	4363	1847
281	4376	1831
282	4389	1814
283	4402	1798
284	4416	1782
285	4430	1765
286	4444	1749
287	4487	1745
288	4509	1732
289	4527	1717
290	4541	1701
291	4554	1684
292	4566	1667
293	4580	1651
294	4594	1635
295	4607	1618
296	4623	1603
297	4636	1586
298	4654	1572
299	4678	1559
300	4696	1544
301	4713	1529
302	4726	1513
303	4740	1496
304	4755	1481
305	4769	1465
306	4784	1449
307	4797	1433
308	4813	1417
309	4827	1401
310	4843	1386
311	4866	1372
312	4892	1359
313	4908	1344
314	4923	1328
315	4936	1312
316	4949	1295
317	4963	1279
318	4976	1263
319	4989	1247
320	5003	1231
321	5017	1215
322	5032	1199
323	5045	1183
324	5072	1170
325	5102	1158
326	5127	1144
327	5143	1129
328	5157	1112
329	5170	1096
330	5183	1080
331	5196	1064
332	5210	1048
333	5224	1032
334	5237	1016
335	5250	1000
336	5265	984
337	5288	970
338	5306	954
339	5324	939
340	5337	923
341	5351	907
342	5364	891
343	5377	875
344	5391	859
345	5404	843
346	5418	827
347	5431	811
348	5444	795
349	5457	779
350	5471	763
351	5496	749
352	5515	734
353	5532	718
354	5545	703
355	5559	687
356	5572	671
357	5585	655
358	5599	639
359	5611	623
360	5625	607
361	5639	591
362	5652	576
363	5666	560
364	5686	545
365	5715	530
366	5738	515
367	5756	500
368	5772	484
369	5786	469
370	5799	453
371	5812	437
372	5826	421
373	5839	405
374	5853	390
375	5868	374
376	5882	358
377	5908	343
378	5926	328
379	5943	312
380	5957	297
381	5970	281
382	5983	265
383	5998	249
384	6011	234
385	6024	218
386	6038	202
387	6052	187
388	6065	171
389	6079	155
390	6093	140
391	6115	124
392	6137	109
393	6155	93
394	6169	78
395	6183	62
396	6197	46
397	6212	31
398	6225	15
399	6238	0
