iter	Logloss
0	0.6826899765
1	0.6718377479
2	0.6638124712
3	0.6553052133
4	0.6499951444
5	0.6452661602
6	0.6402660837
7	0.6372442017
8	0.6335087478
9	0.6295191822
10	0.6256087508
11	0.621499087
12	0.618527497
13	0.6145292961
14	0.6102817782
15	0.6076044938
16	0.6038237935
17	0.6017906289
18	0.5987165827
19	0.5965388865
20	0.5943806575
21	0.591693314
22	0.5895936457
23	0.5872264742
24	0.5849726163
25	0.5829458368
26	0.5810806774
27	0.5794902716
28	0.5777077433
29	0.5759385807
30	0.5733784668
31	0.5710811694
32	0.5692373252
33	0.567523301
34	0.5656487211
35	0.564206612
36	0.5627285842
37	0.5610114985
38	0.5595571394
39	0.5580438166
40	0.5561125267
41	0.5544124498
42	0.5528395463
43	0.5513351023
44	0.5500256919
45	0.5488614771
46	0.5475028587
47	0.5464619288
48	0.5451505235
49	0.5437171747
50	0.542649451
51	0.5410993237
52	0.5400326379
53	0.5386857218
54	0.537964274
55	0.5368279329
56	0.5356277793
57	0.5346247711
58	0.5332548579
59	0.5314786612
60	0.530649086
61	0.5297658554
62	0.5283526473
63	0.5271945761
64	0.5264885066
65	0.5252762537
66	0.5241824433
67	0.5235083597
68	0.5226254358
69	0.5217423714
70	0.5204162932
71	0.5195679261
72	0.5183621809
73	0.5169384256
74	0.515672088
75	0.514854104
76	0.513953617
77	0.5129383083
78	0.5118937524
79	0.510916745
80	0.5100136185
81	0.5091706697
82	0.5078962562
83	0.506823348
84	0.5057209333
85	0.504741555
86	0.5040241466
87	0.503258708
88	0.502385707
89	0.501510084
90	0.500328529
91	0.4992923463
92	0.4982060684
93	0.4969936332
94	0.496040594
95	0.4948328948
96	0.4937476583
97	0.4924212125
98	0.4915358881
99	0.4903747922
100	0.4894576387
101	0.4882797134
102	0.487075061
103	0.4859924873
104	0.4847375598
105	0.4837785673
106	0.4828079145
107	0.481824816
108	0.4805417113
109	0.4797477236
110	0.4786901303
111	0.4776961297
112	0.4766890075
113	0.4755937441
114	0.4744902937
115	0.4732852683
116	0.472446618
117	0.4712568951
118	0.4700430773
119	0.469094017
120	0.4679583781
121	0.4670373845
122	0.4661396387
123	0.4651120089
124	0.464224456
125	0.4634088924
126	0.4625754808
127	0.4614857819
128	0.4607084532
129	0.4598320516
130	0.4587943549
131	0.4576902366
132	0.4568923942
133	0.4558856486
134	0.4549064627
135	0.453892838
136	0.452953037
137	0.4520443478
138	0.4513653838
139	0.4504346976
140	0.4494440614
141	0.4485655386
142	0.4478121291
143	0.4468416591
144	0.4457929821
145	0.445025923
146	0.4441555069
147	0.4433358522
148	0.442878438
149	0.4420130355
150	0.4414209737
151	0.440707392
152	0.4398594694
153	0.4391851315
154	0.4387576516
155	0.4377918053
156	0.436964198
157	0.4361245116
158	0.4355167707
159	0.434765883
160	0.4341388214
161	0.4334395112
162	0.4328452153
163	0.4320287828
164	0.4313744208
165	0.4306838674
166	0.4298956327
167	0.4292894482
168	0.4286270969
169	0.4282044446
170	0.427521523
171	0.4270200579
172	0.42642378
173	0.4255834541
174	0.4250896422
175	0.4244319783
176	0.4236939026
177	0.4230045045
178	0.4224092412
179	0.4216581075
180	0.4210902741
181	0.420367293
182	0.4197786243
183	0.4190043335
184	0.4183234887
185	0.4174439607
186	0.4170000786
187	0.4163614291
188	0.4155568895
189	0.4147517777
190	0.4138861982
191	0.4131977551
192	0.4127470554
193	0.4122264105
194	0.4116454164
195	0.4110794814
196	0.4104856259
197	0.409725094
198	0.4090138664
199	0.408346346
200	0.4078095745
201	0.4069082506
202	0.4064378428
203	0.406114792
204	0.40555577
205	0.4046738515
206	0.4041817392
207	0.4035470912
208	0.4028550006
209	0.402310885
210	0.4016566612
211	0.4011432783
212	0.4004017496
213	0.3997040032
214	0.3991803187
215	0.3987673206
216	0.3982203151
217	0.3977907282
218	0.3972093298
219	0.3966525762
220	0.3962245805
221	0.3957019454
222	0.3953143909
223	0.3947578416
224	0.3940039774
225	0.3936188555
226	0.3930437359
227	0.3926963894
228	0.3923106728
229	0.3917937732
230	0.3912091779
231	0.3907101353
232	0.3901688643
233	0.3896593299
234	0.3892892768
235	0.3885179924
236	0.3878282027
237	0.3873344106
238	0.3865714894
239	0.386250738
240	0.3858107481
241	0.385300583
242	0.3849840386
243	0.3845417027
244	0.3842665229
245	0.3838141835
246	0.3831712977
247	0.3826611136
248	0.3821795045
249	0.3818070089
250	0.3812177419
251	0.3805881288
252	0.3801267062
253	0.3797587271
254	0.3792293813
255	0.3787259374
256	0.3782133246
257	0.3776446735
258	0.3773157311
259	0.3768313003
260	0.3764196866
261	0.3756562718
262	0.3751877478
263	0.3749186656
264	0.3744221995
265	0.3737681751
266	0.3733583586
267	0.3730828551
268	0.3726877493
269	0.3722553392
270	0.3717286615
271	0.3712927533
272	0.3710362587
273	0.3705683012
274	0.3701524893
275	0.3698964588
276	0.369583297
277	0.3691292735
278	0.3684655691
279	0.3678362216
280	0.3671196353
281	0.3665998449
282	0.366314052
283	0.3659128343
284	0.3653875996
285	0.3648579173
286	0.3645770109
287	0.3642616164
288	0.3636950529
289	0.3634361764
290	0.3631586915
291	0.3629284585
292	0.3625861198
293	0.3620519537
294	0.3614255223
295	0.3612381967
296	0.3607130622
297	0.3605098092
298	0.3602400341
299	0.3598588021
300	0.3593558881
301	0.3587247084
302	0.3583392236
303	0.3576692952
304	0.3574605578
305	0.3572293431
306	0.3566546527
307	0.3562160448
308	0.3558570864
309	0.3554681747
310	0.3552752248
311	0.3547937334
312	0.3542685097
313	0.3540374409
314	0.3535168239
315	0.3530076027
316	0.3527771955
317	0.3524149609
318	0.3521901494
319	0.3517477526
320	0.351239632
321	0.3507641354
322	0.3503741524
323	0.3499957477
324	0.3495325263
325	0.349145913
326	0.348627325
327	0.3482665416
328	0.3477192622
329	0.3474247131
330	0.3471992356
331	0.3467777732
332	0.3463444006
333	0.3461179759
334	0.345726518
335	0.3452740716
336	0.3447881755
337	0.3444319994
338	0.3441870786
339	0.3437664492
340	0.3434019979
341	0.3430579425
342	0.3428639425
343	0.3426261517
344	0.3424436342
345	0.3419067886
346	0.3415276739
347	0.3412337943
348	0.3410218009
349	0.3406306566
350	0.340202869
351	0.3398506897
352	0.3394641511
353	0.3391192112
354	0.3386632567
355	0.3383582953
356	0.3380226508
357	0.3378101814
358	0.3373514805
359	0.3371210135
360	0.3368808602
361	0.3366502827
362	0.336416583
363	0.3359453557
364	0.3355953273
365	0.3349725193
366	0.3347455987
367	0.3344027789
368	0.3340127527
369	0.3338364616
370	0.3336351831
371	0.3331644648
372	0.3327797987
373	0.3325581992
374	0.3323100679
375	0.3318822408
376	0.3315181487
377	0.3311043891
378	0.3304211473
379	0.330010289
380	0.3297917023
381	0.329600038
382	0.3292989399
383	0.3289342922
384	0.328415105
385	0.3282591611
386	0.3279734786
387	0.3275927969
388	0.3271906697
389	0.3267708169
390	0.3263074476
391	0.3259933469
392	0.3256039843
393	0.3253928683
394	0.3250902594
395	0.3247372039
396	0.324322354
397	0.3238572332
398	0.3236885035
399	0.3232547243
